Event	ID	Name			Wwise Object Path	Notes
	27511013	Play_Test_Beep			\Default Work Unit\Play_Test_Beep	
	369982735	Stop_Plyr_Movement			\Player\Stop_Plyr_Movement	
	641054882	Stop_Test_Beep_Lp			\Default Work Unit\Stop_Test_Beep_Lp	
	701599435	Stop_Test_Beep			\Default Work Unit\Stop_Test_Beep	
	2235959444	Play_Test_Beep_Lp			\Default Work Unit\Play_Test_Beep_Lp	
	2271622313	Play_Plyr_Movement			\Player\Play_Plyr_Movement	
	2932040671	Play_Music			\Music\Play_Music	
	3038071762	Play_Plyr_Take_DMG			\Player\Play_Plyr_Take_DMG	

Switch Group	ID	Name			Wwise Object Path	Notes
	4158069196	PlayerFwdRev			\Default Work Unit\PlayerFwdRev	

Switch	ID	Name	Switch Group			Notes
	948916608	Fwd	PlayerFwdRev			
	980603520	Rev	PlayerFwdRev			

State Group	ID	Name			Wwise Object Path	Notes
	1490607671	Arrangement			\Music\Arrangement	
	4091656514	Gamestate			\Music\Gamestate	

State	ID	Name	State Group			Notes
	682220065	Block1	Arrangement			
	682220066	Block2	Arrangement			
	682220067	Block3	Arrangement			
	682220068	Block4	Arrangement			
	748895195	None	Arrangement			
	4184794294	Outro	Arrangement			
	89505537	Gameplay	Gamestate			
	748895195	None	Gamestate			
	1593864692	Defeat	Gamestate			
	2607556080	Menu	Gamestate			
	2716678721	Victory	Gamestate			

Custom State	ID	Name	State Group	Owner		Notes
	907376235	Defeat	Gamestate	\Interactive Music Hierarchy\Default Work Unit\Music		

Game Parameter	ID	Name			Wwise Object Path	Notes
	3357794504	PlaySpeed			\Music\PlaySpeed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2675939	Drums-B2- Crash	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Drums-B2- Crash_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block2\Block2Track\Drums-B2- Crash		967333
	8738163	FXs-B1-Impacts	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\FXs-B1-Impacts_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block1\Block1Track\FXs-B1-Impacts		979339
	28862280	B3-R2- HighnW	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\B3-R2- HighnW_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block3\Block3Track\B3-R2- HighnW		1066268
	56533890	Plyr_Dmg_Recieve	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Plyr_Dmg_Recieve_3B527709.wem		\Actor-Mixer Hierarchy\Player\Damage\Plyr_Take_DMG\Plyr_Dmg_Recieve		59758
	105851463	Plyr_Dmg_Recieve_02	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Plyr_Dmg_Recieve_FBF9854D.wem		\Actor-Mixer Hierarchy\Player\Damage\Plyr_Take_DMG\Plyr_Dmg_Recieve_02		50994
	117609476	Mel-B1- Mel1	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Mel-B1- Mel1_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block1\Block1Track\Mel-B1- Mel1		1218904
	117769942	FXs-B1-Riser3	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\FXs-B1-Riser3_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block1\Block1Track\FXs-B1-Riser3		967154
	148144075	FXs-B2-Riser1	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\FXs-B2-Riser1_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block2\Block2Track\FXs-B2-Riser1		1024825
	157928583	B3-R2- Mid	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\B3-R2- Mid_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block3\Block3Track\B3-R2- Mid		1092513
	163971719	B4-R2- Kick	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\B4-R2- Kick_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block4\Block4Track_Trigger\B4-R2- Kick		973126
	188089119	Drums-B1 CHat	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Drums-B1 CHat_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block1\Block1Track\Drums-B1 CHat		1001006
	199399541	Bass-B1	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Bass-B1_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block1\Block1Track\Bass-B1		1510595
	213832411	MonsterSpooky-3	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\BGs\MonsterSpooky\MonsterSpooky-3_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\BGs\Ambience\MonsterSpooky-3		8640064
	217448977	MonsterSpooky-3	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\BGs\MonsterSpooky\MonsterSpooky-2_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\BGs\Ambience\MonsterSpooky-3		8640064
	221125323	Mel-B2- Mel1	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Mel-B2- Mel1_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block2\Block2Track\Mel-B2- Mel1		1072421
	223315406	Plyr_Loc_Whirr_Short_Fw_Rev	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Plyr_Loc_Whirr_Short_Fw_Rev_A86437CC.wem		\Actor-Mixer Hierarchy\Player\Locomotion\Plyr_Fwd_Rev\Plyr_Loc_Fwd\Plyr_Loc_Whirr_Short_Fw_Rev		23204
	241524591	SpookyWind-2	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\BGs\SpookyWind\SpookyWind-3_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\BGs\Ambience\SpookyWind-2		8640064
	243810894	Drums-B2- Snare	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Drums-B2- Snare_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block2\Block2Track\Drums-B2- Snare		1060190
	253769245	FXs-B2-GlitchFill	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\FXs-B2-GlitchFill_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block2\Block2Track\FXs-B2-GlitchFill		967551
	263407831	Plyr_Dmg_Recieve_03	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Plyr_Dmg_Recieve_888EDE27.wem		\Actor-Mixer Hierarchy\Player\Damage\Plyr_Take_DMG\Plyr_Dmg_Recieve_03		48904
	272358848	SpookyWind-2	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\BGs\SpookyWind\SpookyWind-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\BGs\Ambience\SpookyWind-2		8640064
	285512180	Drums-B2- Kick	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Drums-B2- Kick_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block2\Block2Track\Drums-B2- Kick		972036
	294508934	MonsterSpooky-3	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\BGs\MonsterSpooky\MonsterSpooky-4_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\BGs\Ambience\MonsterSpooky-3		8640064
	304918065	B4-R2- Power	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\B4-R2- Power_872E20C5.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Block4\Block4Track_Trigger\B4-R2- Power		1042219
	349802078	Plyr_Loc_Whirr_Lp	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Plyr_Loc_Whirr_Lp_82E991F5.wem		\Actor-Mixer Hierarchy\Player\Locomotion\Plyr_Fwd_Rev\Plyr_Loc_Whirr_Lp		508160
	350208392	Plyr_Dmg_Recieve_01	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Plyr_Dmg_Recieve_355E0058.wem		\Actor-Mixer Hierarchy\Player\Damage\Plyr_Take_DMG\Plyr_Dmg_Recieve_01		63932
	360530627	Plyr_Loc_Whirr_Short_Fw_Rev_01	D:\LooseLeafTea\_GameAudio\2022 Game Jams\BulletHell2022\WwiseProject\BulletHell2022\.cache\Windows\SFX\Plyr_Loc_Whirr_Short_Fw_Rev_6F486831.wem		\Actor-Mixer Hierarchy\Player\Locomotion\Plyr_Fwd_Rev\Plyr_Loc_Fwd\Plyr_Loc_Whirr_Short_Fw_Rev_01		23710
